LABEL_Ranna,LABEL_Nada,LABEL_Ziyad ,LABEL_Fidan,LABEL_Mahmood,AD_TEXT
negative,Positive,Positive,Positive,Neutral,"ABOUT 15,500 TRANS PEOPLE ACTIVELY SERVE IN THE MILITARY. It's estimated that over 134000 American veterans are transgender. Not long ago these people were forced into hiding. As a result, many were unable treatments for their gender dysphoria, a state of emotional distress caused by how the gender someone was designated at birth conflicts with their gender identity. Coming out as transgender requires telling everyone in your life about you and enduring the consequences which often means the loss of family, lifelong friends, your job, and being the subject of ridicule, discrimination, and often violence. No one makes the decision easily and no one transitions unless they have to do so. Transphobic slur of stupid politicians like GOP presidential hopeful Mike Huckabee seeking to tremendous efforts of transgender community who are still struggle for equal rights. We know how easily bigots and fools who has power are able to reverse progressive changes for their own benefit. We can't let that happen! These people know what it means to be Transgender and know what it is to serve in our Armed Forces. We respect their opinion in both of these areas, especially over those of Governor Huckabee who has not experienced or accomplished either. #transgender #military #equality #transphobia #mikehackabee"
negative,Negative,negative,Negative,Negative,"has a history of assaulting people of color; yet he's still in blue. The racist attitude of the Austin Police Department is that they will find any flimsy excuse to brutalize people of color on a nightly basis. Recently, during a Austin Police Assaults A Black American Downtown I Black Matters Black Matters"
positive,Positive,positive,Positive,Positive,"This girl will prove to everyone how great Black people are! You go, girl!"
neutral,Positive,Positive,Neutral,Neutral,Breaking news and analysis on the life of African American community in the US! Independent News For Black Amrican community Black Matters Black Matters
positive,Positive,Positive,Positive,Positive,Kids learn by parents' example. Give them the good one! Repost from
positive,Negative,positive,Positive,Negative,"Join event, don't stay indifferent! New Sandra Bland! We need justice. Come and support. India Cummings. SayHerName"
negative,Positive,Positive,Positive,Negative,"Native American teens made an interesting journey through their ancestral lands. The journey was led by Sarah Pemberton member of the Delaware Nation. Sarah and her partner Kyle Harris created a movie about the journey called ""The Water Gap: Return to the Homelands"" which already won the award at the Native American Film Festival of the Southeast. Propaganda of native culture and traditions is one of most powerful weapons in Native American fight for their rights. People have always tried to destroy things they don't understand. And white people never understood native culture properly. Many teens who had native ancestors deep in the past know nothing about their culture. Films, journeys, even videos on Youtube, can help."
negative,Negative,negative,Negative,Negative,"Did you know that?! People try to sabotage this truth, by saying it's a lie, but we all know that white people cannot just handle the fact that Black inventors did a huge contribution to the world's culture."
positive,Negative,Positive,Negative,Negative,"FLASHMOB #BMOVE9: Send in your words of support to the fighters for Black lives. The Move Organization. You are the one who can restore the belief that their efforts were not useless. Back in 1985, a whole village inhabited by members of a Philadelphia-based black liberation group, the MOVE was totally destroyed by a bomb attack organized by Take Part In Flashmob BE MOVE 9 1 Black Matters Black Matters"
positive,Negative,positive,Positive,Negative,Stand for the people not the Government! Join the rally in Atlanta this Sunday! American Crusade - Ga
positive,Negative,positive,Negative,Neutral,Unapologetically melaneted Kings and Queens are powerful together. Join us!
negative,Positive,positive,Negative,Negative,One big racist down millions others to go. Still Fox News will find a new racist to replace O'Reilly Bill O'Reilly has lost his job at Fox News Channel following reports that five women had been paid millions of dollars to keep quiet about harassment allegations. Bill O'Reilly Is Fired From Fox News BlackMattersUS.com blackmattersus.com
negative,Negative,negative,Negative,Positive,Share this and make it go viral. Media won't share this because positive Black male images ifs not okay to display in America.
positive,Positive,positive,Positive,Positive,Absolutely! Support and respect each other.
positive,Positive,positive,Positive,Positive,"Congratulations, beautiful Queens! You can achieve any goals if you really believe in yourself. Just motivate yourself."
negative,Positive,negative,Positive,Positive,"Government and mainstream media have absolutely abandoned citizens in the Flint Water Crisis. It's getting to ages already since the Flint water crisis started, which was caused by government officials failing to treat domestic and drinking water. But it Activists Give Aid To Flint Residents Once Again Black Matters Black Matters"
positive,Positive,positive,Positive,Positive,"Momma, Did You Hear The News? is a kids' book that aims to help black parents to talk about police brutality ""Momma, Did You Hear The News?"" is a kids' book that aims to help black parents to talk about police brutality This Kids' Book Helps Parents Approach 'The Talk' About Police Brutality BlackMattersUS.com blackmattersus.com"
negative,Positive,positive,Positive,Positive,This video may bring tears to your eyes. Make it go viral. We need this unity in our communities.
positive,Positive,positive,Positive,Positive,"The City of Somerville stands against all violence and all injustice, which is why a Black Lives Matter banner hangs at City Hall. Mayor Joseph Curtatone of Somerville, Massachusetts, boldly said he won't remove Black Lives Matter banner from the City Hall after the local police union asked Massachusetts Mayor Refuses To Remove BLM Banner From City Hall Black Matters Black Matters"
positive,Positive,positive,Positive,Positive,"Black don't crack! No joke! Happy Birthday, Queen."
positive,Negative,positive,Positive,Neutral,#blackexcellence #blackperfection #blackbeauty #blackbusiness #africanamerican #blackcommunity #melanin #blackpride #blackout #america #usa #blackscience #education #diversity #blackgirlmgic
neutral,neutral,neutral,Neutral,Neutral,Who else has done this more than 10 times?
negative,Negative,negative,Negative,Negative,"COPS SHOT AND KILLED CALIFORNIA BLACK WOMAN WHO STRUGGLED WITH BIPOLAR DISORDER Michelle Lee Shirley was fatally shot by Torrance police officer as she approached a group of police officers in her car. Police arrived at the scene after a series of 911 calls in which they were warned of a reckless driver and her erratic behavior. When cop saw Shirley, who was off her bipolar medication, they boxed her in with their patrol cars. When she started approaching them, law enforcement officers opened fire at her. The incident resulted in a fatal shooting. After the shooting, Shirley was taken to County Harbor-UCLA Medical Center and was pronounced dead. Michelle Shirley, 39, who received a diagnosis of a mental disorder tried to balance motherhood and law school. In a video titled, ""It's Up to Us,"" she was asking people to take seriously a mental disorder and seek help because ignoring it can take away years of people's lives. Did you know that people with mental illness are 16 times more likely to be killed during a police encounter than mental healthy? Did you know that half of people shot by cops are mentally ill? Police officers are not equipped with firearms to deal with mental illness in the field. But they are equipped to protect us from criminals."
negative,Positive,negative,Negative,Negative,"Colorado court sides against baker who refused same-sex marriage cake order The appellate court ruled that requiring the cake shop to comply with an anti- discrimination law does not violate the First Amendment. The ruling was premised chiefly on the Colorado Anti-Discrimination Act, which prohibits discrimination on the basis of a number of protected categories, including sexual orientation. I'm so sick of this true Christians who have never taken the Bible in their hands. reading or listening someone who read ancient texts and then declaring them to be applicable to today violates the scriptures. God didn't support divorces, so why did bakers not refuse service to divorcees? Anyway, the truth on our side... finally. So, grab your bae and go to eat some cakes!"
neutral,neutral,neutral,Neutral,Neutral,Everyone must learn this
positive,Positive,positive,Positive,Neutral,Tbh I believe in you
neutral,Positive,positive,Positive,Positive,"President Barack Obama signed a bill Friday eliminating the offensive and outdated descriptors, after the legislation passed unanimously in the House and Senate earlier this month. Rep. Grace Meng (D-N.Y.) sponsored the bill, which aimed to ""modernize"" two references to ""Orientals"" and ""Negros"" in the U.S. Code that date to the 1970's. The words will be replaced with ""Asian Americans"" and ""African Americans,"" respectively. ""The term `Oriental' has no place in federal law and at long last this insulting and outdated term will be gone for good,"" Meng said in a statement on Friday. Obama signed the bill shortly before leaving for his trip to Vietnam and Japan, where he will become the first sitting U.S. president to visit Hiroshima. Subscribe to our channel: https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg Follow my Facebook: https://www.facebook.comn/ViIliamsandKalvin Follow me on Twitter: https://twitter.comnWilliams8kalvin"
negative,Negative,negative,Negative,Neutral,When you out in public and see your bf make eye contact with a girl
positive,Negative,positive,Positive,Negative,"Believe it or not, black doctors exist."
positive,Positive,positive,Positive,Positive,"As we celebrate and reflect upon the birth of the great Martin Luther King Jr., a voice of the people and one who sacrificed his life for the total liberation of Black Americans, the question is ''who will keep his dream alive""? He saw the promise-land where blacks and whites live together in harmony and each of them given equal rights and privileges, freedom and justice. Today, we do not see this equality among blacks and whites in America. These rights and privileges; freedom and justice shouldn't be for some selected few but all! Thanks for watching; I'd like to hear from you, Click like, Share and Comment. Together we can make America a better place. https://www.youtube.com/watch?v=tWzl85XjHKc As we celebrate and reflect upon the birth of the great Martin Luther King Jr.. a voice of the people and one who sacrificed his life for the total liberatio... WHO WILL BE THE NEXT MARTIN LUTHER KING JR.? Williams&Kalvin"
negative,Positive,negative,Negative,Positive,"Well, as you know, schools are places of learning and also miniature societies. The school climate has a direct impact on both how well students learn and how well they interact with other people. More and more teachers today understand the importance of socialization and try to make their classes more friendly where each student feels involved. But despite these efforts, students who are LGBT continue to face a harsh reality.... May 24,25 Westboro baptist church is planning to stand against tolerance in education system near LGBT-friendly Lawrence High School. They want to ""remind this nation that the parents, students, teachers and staff of the high schools celebrate disobedience to God's law."" They are just inciting hate riots and violence! Their right to protest infringes on others rights! Personally have had enough of those assholes. Someone should picket them (in return)!! Any volunteers willing to help me drown out their voices of hatred? Please, DM us for more information and we can stop their nonsense - to put them on the right way!"
positive,Positive,positive,Positive,Neutral,Possible.
positive,Positive,positive,Positive,Positive,Black love matters! I wish I could have the same moment in my life.
negative,Negative,negative,Negative,Negative,"A 17-year-old boy dies after being shot multiple times in West Baltimore. A Baltimore teenager died Monday morning, shortly after 10:30 am after being shot several times on a street corner less than two miles from his old high school. Baltimore Sun's crime reporter Kevin Rector said that an officer in the 1500 block of West Baltimore street s heard multiple gunshots comin... Teen Fatally Shot In West Baltimore I Black Matters Black Matters"
negative,Positive,negative,Negative,Negative,"Excuse me ... WHAT?!? Taxpayers Spend $3.5 Million to Find Out Why Lesbians Are Fat A U.S. Health and Human Services study to understand why lesbians are fat has now cost taxpayers over $3.5 million to-date. The study, ""Sexual Orientation and Obesity: A Test of a Gendered Biopsychosocial Model,"" seeks to determine why there is a disparity in the obesity rates between straight women and lesbian women and straight men and gay men. Oh God!! It made you look the fools! People overeat when they are unhappy with themselves and their lives! Not only lesbians! And we have enough reasons! First of all - your research!!lt's humiliating!"
negative,Positive,negative,Positive,Negative,"Those duplicitous politicians say they want to end the war in Syria though all they do makes the situation worse and leads to more blood spilled in the Middle East. Unfortunately, many of these hypocrites have infiltrated the American establishment. Such people benefit from regional conflicts and war is nothing more than business for them. It was these people who launched the missiles that never hit no terrorists but led to civilian casualties. It is them who keep receiving money from the same actors who sponsor ISIS and other groups. These people want more American involvement because it means more money for them and they don't care about the terrorists. In fact, radicals really help them increase their bloody income. The only way to resist the corrupt elites is to oppose military actions with no particular aim and promote anti-terrorist agenda! Focus on what's truly important and we will end the war in Syria sooner than you can imagine."
positive,Negative,positive,Positive,Neutral,"Join the event, bring your friends, feel safe with us It's free! Organized on a donation basis. https://www.meetup.com/Black-Fist- Self-Defense-ProjecU Free Self-Defense class in Long Beach, CA -"
positive,Negative,positive,Positive,Positive,Stop paying for music! Listen legally and for free. Download now! Free and legal music service. Click to download! musicfb.info FaceMusic Stop A.I.
negative,Negative,positive,Negative,Negative,"Join us if you know it's just a car, NOT A SYMBOL OF HATE South United"
positive,Positive,positive,Positive,Positive,Ifs not flesh and blood. But the heart which makes us fathers and sons.
positive,Negative,negative,Negative,Negative,"Almost 2 years have passed since the death of Eric Garner,. a father of 6, who was violentl Rally In Memory Of Eric Garner"
neutral,Positive,negative,Neutral,Neutral,I'll just leave this here
positive,Positive,positive,Positive,Neutral,"There are always roadblocks, obstacles and challenges and you have to find other ways to reach your goal. That's what makes it interesting. Boris Kodjoe Success stories Boris Kodjoe: More Than Actor 2017-01-192017-01-19 0 Comment Boris Kodjoe, the World of Alfa clothing ""There are always roadblocks; obstacles and challenges and you have to find other ways to reach your goal. That's what makes it interesting."" Boris Kodjoe Born Boris Frederic Cecil... Boris Kodjoe More Than Actor â€” Black4Black black4black.info"
negative,Positive,positive,Positive,Positive,"Dr. King preached to thousands and millions, all in an attempt to gain ""true liberation for the oppressed, Black people. Years after his death, we still march on streets like he did. We still ask and beg and plead. Maybe it's time to change tactics? #blackexcellence #PanAfricanism #BlackNationalism #BlackEmpowerment #African Empowerment #AfricanAndProud #BlackAndProud #BlackPride #BlackPower #BlackLivesMatter #Amerikkka #UnapologeticallyBlack #UnapologeticallyAfrican #BlacklnAmerica #BlackIsBeautiful #KnowThySelf #KnowledgeOfSelf #KnowledgeOfSelflsANationality #EconomicEmpowerment #Integration Failed #WhiteLiesMatter #Education #African Unification #AfricanUnity #BlackLove #JusticeOrElse #ProBlack #Regrann #blackexcellence"
positive,Positive,positive,Positive,Negative,"It's all about self preservation and protection people. Exercise those rights, they are there for you!"
negative,Negative,negative,Negative,Negative,How many more black men have to be killed until the government realizes that it's time to Justice For Philando Castile
positive,Positive,positive,Positive,Positive,She is so stunning!
positive,Positive,positive,Positive,Positive,"Since the game of American football was first played at the collegiate level in the late 1860s, the sport has captivated fans by using both strength and strategy to get the win. With the introduction of the American Professional Football Association, later renamed to the National Football League, audiences saw athletes play more ferociously than ever before. American football has actually became national kind of sports in the United States. We are proud of such players as Michael Vick, Peyton Manning and John Elway. We are proud we live in America!"
neutral,Positive,neutral,Neutral,Neutral,African American Breaking News and Opinion. Click Learn More! Black Pride ( @black Yoyoyoyoyoy
positive,Positive,positive,Positive,Neutral,A Wounded Warrior and his service dog. Support our Veterans - Follow: The US Gov Spending Stats Instalol
neutral,Neutral,neutral,Neutral,Neutral,"Tsawataineuk Canadian Native American tribe. Their reservation is located in British Columbia. In the 2007 year in community lived 59 people. (Photo: Tsawatenok, 1914)"
negative,Negative,negative,Neutral,Neutral,What is life now
positive,Positive,positive,Positive,Positive,Black beauty in all shades.
positive,Negative,positive,Positive,Positive,Self-Defense Project. Feel safe with us.
negative,Positive,negative,Positive,Positive,"Do you seriously believe God will judge someone for loving a person of same sex, but will not judge you for hating someone you have never met? A Kentucky clerk who defied a federal judge's order to issue marriage licenses and turned away four gay couples has until Monday to convince the judge to delay his mandate. U.S. District Judge David L. Bunning rejected Rowan County Clerk Kim Davis' claim that her Christian faith should exempt her from issuing marriage licenses to same-sex couples and ordered her on Wednesday to hand out the licenses. But her office kept denying them. Interesting what would happen if I walked up to my boss and said I refuse to the job I am being paid for today? Let me think... guess I would stand in the unemployment line! Her job is not to participate in gay weddings!! All she has to do is confirm that the paperwork is correct! She should be fired, fined and charged with contempt of court!"
positive,Positive,positive,Positive,Positive,Probably you remember Virginia McLaurin who visited the Obamas at the White House last year. She was 106-year-old at that moment. Later she celebrated her 107th birthday with the Harlem Globetrotters basketball team. It seems that Virginia and the team became friends because they celebrated her 108th birthday together! Virginia McLaurin celebrates 108th birthday with Harlem Globet...
positive,Positive,positive,Positive,Positive,"If u love to be woke and u wanna improve ur knowledge of self, join our community! We post love everything hotep! Nefertiti's Community"
positive,Positive,positive,Positive,Positive,"The second self-defense class Join the event, bring your friends, feel safe with us!!! Self-defense classes with"
positive,Negative,negative,Positive,Positive,Black community dedicated to black-owned businesses Black4Black
positive,Negative,negative,Negative,Negative,"Christmas is coming !We're sure that you won't be able to find a better present than a gun! Don't believe us? Just try once and you'll understand what we're talking about! Gun power, self-confidence, freedom! Tea Party News( @tea Teapartypat"
positive,Positive,positive,Positive,Positive,The war is most horrible thing: We offer a shelter!
positive,Positive,positive,Positive,Positive,"Houstonians, come out to honor the memory of Huey P. Newton, and other black leaders and prominent members of the Black Panther Party on October 15! We should revive their legacy and discuss the plan that Newton and Seale crafted to empower Black communities economically. The plan contained basic demands such as self-determination, decent housing, full employment, education that included African-American history, and an end to police brutality. The list of confirmed speakers will be released a few days before the event. Share and invite your friends! Black Panther Party 50th Anniversary H-Town"
neutral,Neutral,neutral,Neutral,Neutral,repost @[857553657667666:274:Chakabars]
positive,Neutral,positive,Neutral,Negative,When your melanin pops severely.
negative,Positive,negative,Positive,Negative,Videoblog about racism and black social issues!
negative,Positive,negative,Negative,Negative,"Middle East wars are one of the reasons why we are in $20 trillion debt today. We could have solved thousands of economic and security problems by simply rejecting the aggressive military policy we've been having for so long. Iraq war didn't end terrorism, and didn't solve the Islamization problem. If we repeat the same war in Syria, we'll only get the same result: no profit for American citizens and several thousands of dead American soldiers. Globalists, terrorists and Corporations are the only ones who benefit from oil wars."
positive,Positive,positive,Positive,Neutral,Community of people who support our brave heroes.