AD_ID,AD_CLICKS,AD_IMPRESSIONS,AD_SPEND,AD_TARGETING_AGE,AD_TARGETING_EXCLUDED_CONNECTIONS,AD_TARGETING_INTERESTS,AD_TARGETING_PLACEMENTS,AD_TEXT,AD_POTENTIAL_TARGET
1264,602,3546,200.00 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,"What happened in Manchester is a tragedy beyond description that filled our hearts with inconsolable grief of pain and loss. It makes everything worse that the spirit of hatred is again aimed on all Muslims who in fact have nothing to do with disgusting radicals who organize such gruesome acts. The whole Muslim community condemns terror! Islam would remain the religion of peace no matter how hard those terrorists try to promote the opposite image! These people hurt Islam and the best way we can protect it is the art of compassion and love towards all people suffering at the hands of radicals! Pray for the victims, stay strong and heal this world!",
225,9,58,7.51 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,"The Daily Beast reported that a black veteran, Elliot Williams, 37, encountered a painful death in jail cell without help from jail officials as they watched hi Oklahoma Cops Left Black Army Veteran To Die In Jail Cell Black Matters Black Matters",
766,189,2409,400.00 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,"I believe Ron Paul's position on our foreign military policy is absolutely right. After all, it was Trump who promised to put America First and promised to end Obama's policy of wasting budget money on military operations overseas. ""We're not going into Syria"", Trump said it to calm down those who got really concerned about a possibility of America getting involved into another war. really want to trust these words, but unfortunately many high-ranked politicians want to force Trump to pull America into another war. Here's what Ron Paul thinks about it: ""By the end of this month, Defense Secretary James Mattis and National Security Advisor HR McMaster will deliver to President Trump their plans for military escalations in Afghanistan, Iraq, and Syria. President Trump would be wise to rip the plans up and send his national security team back to the drawing board — or replace them. There is no way another ""surge"" in Afghanistan and Iraq (plus a new one in Syria) puts America first. There is no way doing the same thing over again will succeed any better than it did the last time."" Syria will be just another oil war; Iraq cost our country 4,500 soldier lives, and why the hell are we still in Afghanistan? We've started the whole Afghanistan thing to beat the Soviets, and no there's no Soviet Union on the world map, and all the communists left on this planet are only Chinese and Californian students.",
601,7,31,25.92 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,Lil bit about the history of Gay Rights... Protestor at Weinstein Hall demonstration for the rights of gay people on campus. NY 1970.,
1750,130,1113,99.00 RUB,18 - 65+,,"CollegeHumor, BuzzFeed or 9GAG",News Feed on desktop computers or News Feed on mobile devices,Word!,59000000.0
769,502,5186,500.00 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,"Our politicians should never forget that. We've been watching our military commandership wasting lives of American soldiers for too long, let's hope it will end now when Trump is in charge. A new Marine Corps artillery unit was sent to assist Syrian opposition in Raqqa, according to Army Maj. Josh T. Jacques, a spokesman for U.S. Central Command. The artillery unit recently replaced about 400 Marines from the 11th Marine Expeditionary Unit, which provided artillery support to Kurdish and Syrian Arab forces expected to launch an offensive against Raqqa. We must deal with ISIS and end the terrorist threat once and for all. Unfortunately that's hardly possible because of the corruption in the Government. The Swamp in DC is still not drained from people like Senator McCain, and that's why our troops not only focus on defeating terrorism, but also getting involved into another regime change venture and possibly another oil war. We're fighting radical Islamists, but we're also siding with Syrian opposition, the very same radical Islamists, and there's absolutely no guarantee that these rebels won't replace ISIS when it's gone. There's only one chance to avoid another Iraq: Trump and the American nation must defeat globalist politicians and the Establishment. All we can do now is to pray for all American soldiers to return back home alive and safe.",
2843,1919,21444,900.00 RUB,18 - 65+,Exclude people who like Pan-African roots MOVE,"Martin Luther King, Jr., Black history, African- American Civil Rights Movement(1954-68), African-American history, Malcolm X or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,"In a recent interview, Barack Obama said that not bombing Syria ""required the most political courage"". He said that sending troops to Syria was a very difficult decision, but not bombing Syria was even harder to make. Obama was hated for not taking actions, but it's better for being hated for not killing innocent people that for starting a useless war. Though it was tough, Obama did a great job keeping away from the war that would take millions from the US budget and get innocent people killed. Unfortunately, the recent government didn't think twice, before they started bombing Syria. They will cut the support of Black families in the US to kill innocent kids in Syria. How did we come to this?!",24000000.0
1087,1781,12055,400.00 RUB,16 - 65+,,"Black nationalism, Pan-Africanism, African-American culture, African-American Civil Rights Movement (1954--68), African-American history, Black Consciousness Movement, Martin Luther King Ill or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,Positive young black men serving this country will not be on any news outlet. Thar s why we decided to post it here.,31000000.0
762,141,1828,1006.16 RUB,35 - 65+,Exclude people who like Being Patriotic,"Fly the American Flag, America the Beautiful, American Patriots, I Love the USA, Proud to be an American, Patriot Nation, Flag of the United States, American Patriot or American patriotism, Employers: Proud to be an American And Must Also Match: Politics: Likely to engage with political content (conservative)","News Feed on desktop computers, News Feed on mobile devices or Right column on desktop computers",Patriotism is looking out for yourself by looking out for your country - Calvin Coolidge. Being Patriotic,
1009,310,3152,148.82 RUB,16 - 65+,,"Pan-Africanism, African-American Civil Rights Movement (1954-68), African-American history or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,"Have a good day, kings, queens, Black Gods and Goddess!",24000000.0
1436,2,135,79.91 RUB,19 - 30,,"Antelope Valley College, School: University of California, Riverside, California State University, East Bay Continuing Education or University of Wisconsin-Madison",News Feed on desktop computers or News Feed on mobile devices,Stop police brutality! Join our meeting on 21 st April! April 21 Student Day of Action to #StopPoliceTerror,
649,2042,6675,452.12 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,"Homophobic nurse tries to discourage birth mom from allowing gay couple to adopt child While the birth mother was resting with the baby, Andy and his partner took a break from the hospital to get some food. When they returned, they had a flurry of phone messages from the mother, crying and urging them to get back soon. A nurse had been questioning her about her decision to let a gay couple adopt her baby. ""Aren't you afraid those boys are gonna hurt that baby? Aren't you afraid that he's not gonna grow up and be normal?"" asked the nurse. Excuse me who the hell is she?! This bigot is forcing her views onto the mother, because she doesn't think the baby would grow up ""normal""? A mother who's making the difficult decision to place her son up for adoption, and a wonderful couple who wants to raise that child. What the hell right does the nurse have to try to stop that? I hope they fire her. I'm happy for the Gay couple on becoming parents!",
966,3793,22589,200.00 RUB,16 - 65+,,"Pan-Africanism, African-American Civil Rights Movement (1954-68), African-American history or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,"Alek Wek is now a hero for many of us. Supermodel decided not to go with the crowd that set the European standards of beauty. Despite the fact that all of the fashion models were obliged to wear blond wigs, she did something that was against the norm- she took her wig off and threw it in the crowd. #YouGoGirl",24000000.0
1154,3301,23334,400.00 RUB,16 - 65+,,"Pan-Africanism, African-American Civil Rights Movement(1954-68), African-American history or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,It's not about wanting to be someone else. It's about knowing who you are and comfort in your skin.,24000000.0
78,1739,44405,5940.92 RUB,18 - 54,,BlackNews.com or HuffPost Black Voices,"News Feed on desktop computers, Third-party Apps and Websites on mobile devices or News Feed on mobile devices","Black Community! We finally made a website! News about black racial and social issues. Get breaking news and analysis on the life of African American community in the US. Black Matters Chicago IPRA Finally Gets Dashcam Video Of Darius Pinex Shooting It took over five years for the IPRA to get the key evidence in the fatal police shooting of a black Chicago man committed in 2011. Orlando Nightclub Massacre And The Race Factor Orlando tragedy shed light on how hate and terrorism can destroy innocent lives within a matter of seconds. Pepper-Sprayed Victim Donates $100K Settlement To Social Justice A Seattle high school history teacher Jesse Hagopian, pepper- sprayed by police, says he'll donate the $100K settlement to help movement for justice. NYPD Cop Pulls A Gun On Black Cyclist In Fender-Bender A 21-year-old black cyclist plans to sue a white NYPD police officer for threatening his life by pointing a gun at him during a fender-bender. Black Matters",
3097,1055,8958,100.00 RUB,18 - 65+,,"Martin Luther King, Jr.. Stop Racism!!. African- American culture. African-American Civil Rights Movement (1954-68), African- American history, Say To No Racism or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,Haters gonna hate regardless!,17000000.0
2588,3083,21176,400.00 RUB,18 - 65+,,"Mexico, Latin hip hop, Chicano Movement. Hispanidad, Lowrider, Chicano rap or La Raza",News Feed on desktop computers or News Feed on mobile devices,Vintage 1970 photograph of Chicana Brown Berets at a demonstration in East Los Angeles. from LA RAZA magazine. vol. 1 no. 4. Photo credit: Raul Ruiz.,43000000.0
2727,11051,82748,440.00 RUB,18 - 65+,,"Hispanic and latino american culture, Mexico, Mexican american culture, Hispanic culture, Latino culture, Latin hip hop, Chicano, Chicano Movement, Hispanidad, Mexican Pride, Lowrider, Chicano rap or La Raza",News Feed on desktop computers or News Feed on mobile devices,"Real Mexican-American pride. Respect! FYI: The three largest Hispanic groups in the United States are the Mexican- Americans, Puerto Ricans and Cubans.",49000000.0
2690,3417,22633,300.00 RUB,18 - 65+,,"Hispanic and latino american culture, Mexico, Mexican american culture, Hispanic culture, Latino culture, Latin hip hop, Chicano. Chicano Movement, Hispanidad, Mexican Pride, Lowrider, Chicano rap or La Raza",News Feed on desktop computers or News Feed on mobile devices,What is your type and why?,49000000.0
2709,7367,51837,500.00 RUB,18 - 65+,,"Mexico. Latin hip hop. Chicano Movement,. Hispanidad, Lowrider, Chicano rap or La Raza",News Feed on desktop computers or News Feed on mobile devices,Make America Aztlan again!,43000000.0
172,91,766,143.57 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,"Because They Lack Crucial Training, These Cops Severely Beat a Blind Autistic Teen Unconscious During the incident, Abrams, 17, suffered two seizures after police used force against him at the Green Line's Lexington Parkway Station. The teen suffers from Asperger's syndrome, which causes him to strongly dislike being touched or having people in his person space, and is considered legally blind, wearing extremely magnified glasses. Officers thought the non-compliance of Abrams was reason enough to justify forcibly taking him down, which resulted in him being battered and left unconscious. Abrams non-compliance wasn't done out of malice, but out of not really understanding the situation, and believing he hadn't done anything wrong. Abrams' autism makes it extremely difficult for him to interpret the intentions or feelings of others, according to his mother. Police released the teen to the custody of his mother rather than take him to the juvenile detention facility. Police are trained to think like the military in combat, which means they prioritize their own safety and the safety of fellow officers over everything else, including that of the citizens they allegedly ""protect and serve.""",
2732,133,2247,137.16 RUB,18 - 65+,,"Mexico, Latin hip hop, Chicano Movement, Hispanidad, Lowrider, Chicano rap or La Raza",News Feed on desktop computers or News Feed on mobile devices,"Irma Gonzalez was one of six women inducted into the San Diego County Women's Hall of Fame earlier this month. This is a huge step for a latino woman in the US. She says: ""Diversity on the bench is so important because the people that come to court come from all different walks of life, different ethnic backgrounds, different religious backgrounds."" However, if it's a sign of diversity, this is a very weak sign. Just think, we are indigenous inhabitants of this land and we were cut off all privileges since gabachos came and stole our land. So, it took almost 500 years for our woman to reach a prestigious position in the government that is not really caring about us! Whether there are latinos or not, authorities will continue to deport us from our indigenous land!",43000000.0
1892,0,0,0,18 - 65+,,Texas Secession or Southern United States,lnstagram Feed,"Defend southern heritage! Follow instagram south united and get last news, history articles and even more! Click Learn more! South United Yoyoyoyoyo",
3307,0,0,0,18 - 65+,,"Prison-industrial complex, Corrections Corporation of America , American Correctional Association, Incarceration in the United States, Prisoner, The Inmates, Children Of Inmates, Prison Wives or School-to-prison pipeline",News Feed on desktop computers or News Feed on mobile devices,"Photo by Isadora Kosofsky @isadorakosofsky, part of an ongoing series documenting bonding visits between children and their incarcerated parents at eight men's and women's prisons in Florida.",51000.0
1474,9192,102914,5000.00 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,NO CRIME SHOULD BE HIDDEN! Visit our website http://DoNotShoot.Us for exclusive updates and breaking news!,
2112,922,3891,167.19 RUB,18 - 65+,,"Martin Luther King, Jr.; African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,The dopest black woman ever. Miss her.,2900000.0
1298,91,3749,2000.00 RUB,18 - 65+,,"Conservatism, The Tea Party or Republican Party (United States)",News Feed on desktop computers or News Feed on mobile devices,"This week Eric welcomes back totheshow author and filmmakerJohn Pilger to discuss the specter haunting Europe,Asia,Africa,and Latin America: Hillary Clinton,Ericand John discuss how Hillar...",40000000.0
3133,916,5404,111.19 RUB,18 - 65+,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,They say Black people are ... (y'all know the negative narrative) But this is what is going on in our lives. We are intelligent and wiser than they are. Im proud of y'all. #BlackDontCrack #PanAfricanism #BlackNationalism #BlackEmpowerment #African Empowerment #AfricanAndProud #BlackAndProud #BlackPride #BlackPower #BlackLivesMatter #Amerikkka #UnapologeticaIIyBlack #UnapologeticallyAfrican #BlacklnAmerica #BlacklsBeautiful #KnowThySelf #KnowledgeOfSelf #KnowledgeOfSelflsANationaIity #EconomicEmpowerment #Integration Failed #WhiteLiesMatter #Education #African Unification #AfricanUnity #BlackLove #JusticeOrElse #ProBlack #blackexcellence #goals #evoke,2900000.0
2101,231,1071,71.65 RUB,18 - 65+,,"Martin Luther King, Jr.; African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,She's so stunning! That's black girl magic,2900000.0
847,0,0,,18 - 54,,"BlackNews.com, HuffPost Politics or HuffPost Black Voices",News Feed on desktop computers or News Feed on mobile devices,"Why don't american cops realize that being black is not a crime? African american kids are being shot only for playing with toy guns... How is it possible? Where is the justice? Our Government is blind, they simply don't want to pay attention to this legalized homicide of own people... This is crazy! We must speak about it!",11000000.0
750,1203,5060,500.00 RUB,18 - 65+,Exclude people who like Heart of Texas,Independence or Patriotism,News Feed on desktop computers or News Feed on mobile devices,"It's not about the reason, it's all about the time! Texas holds a strong state identity and more conservative ideology than much of the rest of the country. It'll be enough for Texas to woke up and say ""We're done with Washington!"". Texas has the power to become independent. Hillary's presidency will only become a stronger push for us to secede, but she also can do anything to prevent us from it! Stay conscious y'all!",6400000.0
2878,0,0,0,18 - 65+,Exclude people who like Pan-African roots MOVE,"Martin Luther King, Jr., Black history, African- American culture, African-American Civil Rights Movement(1954-68), African- American history, Malcolm X or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,"True! To be pretty a girl doesn't need to show her body. It's nothing wrong with being sexy and loving it, but we just have to forget that beauty is not about taking clothes off.",31000000.0
3141,5841,34318,300.00 RUB,18 - 65+,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,"I have always admired the strength of Black women to strive for success and here i serve us all again with this delighting success of Barbara Ross-Lee, a physician and the first African-American woman to become the dean of a predominantly white medical school. Thank you for your inspiration; paving the way for young Black girls to dream bigger and achieve greater heights. #PanAfricanism #BlackNationalism #BlackEmpowerment #African Empowerment #AfricanAndProud #BlackAndProud #BlackPride #BlackPower #BlackLivesMatter #Amerikkka #UnapologeticallyBlack #UnapologeticallyAfrican #BlacklnAmerica #BlacklsBeautiful #KnowThySelf #KnowledgeOfSelf #KnowledgeOfSelfIsANationaIity #EconomicEmpowerment #Integration Failed #WhiteLiesMatter #Education #African Unification #AfricanUnity #BlackLove #JusticeOrElse #ProBlack #Regrann #blackexcellence #goals",2900000.0
3387,0,0,0,15 - 40,Exclude people who like The Red Pill,Meme,"News Feed on desktop computers, lnstagram Feed or News Feed on mobile devices",Revealing the uncomfortable truth and supporting conservative ideals! Let's get red pilled!,39000000.0
841,455,3734,748.95 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,"A young black guy who was mentally disabled decided to end his life, but will only do that by making the cops kill him. This is absolutely insane in the highest order. He took a gun and ordered his other two brothers to take a video of the whole incident. Michael Ford, at the police vicinity opened fire and got the cop's attention. The filming was still in process as he commanded. The first cops who appeared fired back and almost immediately ended up drawing fire. He gave the other officer a chance to get into position when he opened fire. It's quite not understandable why his own cop shot him and shot the mentality ill man too. This is a good example of sick reality too. Is there any explanation why cops have started shooting each other? Follow my Facebook: https://www.facebook.comnViIliamsandKalvin Subscribe to my YouTube Channel: https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg Follow me on Twitter: https://twitter.comnVilliams8kalvin",
634,7,20,7.91 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,"Most parents aren't prepared for the words, ""Mom, Dad. I'm gay."" For many parents first reaction probably will be ""How will I ever handle this?"" The answer is simple and difficult at the same time: love and acceptance will help to understand your child's sexuality and its meaning to you and your continued relationship with your son or daughter. Some parents feel they would have been happier not knowing about their child's sexuality. They look back to before they knew and recall this time as problem-free - overlooking the distance they often felt from their child during that time. Sometimes parents try to deny what is happening - by rejecting what they're hearing (""It's just a phase; you'll get over it""); by shutting down (""If you choose that lifestyle, I don't want to hear about it""); or by not registering the impact of what we're being told (""That's nice, dear, and what do you want for dinner?""). Such denial often prove as a traumatizing experience for LGBT children. If you as a parent 'II pretend to forgot the truth about your child's sexuality, you would never really know your child. A large part of his or her life would be kept secret from you, and you would never really know the whole person. It is important to accept and understand your child's sexuality because homosexuality and bisexuality are not a phase. While people may experiment for some time with their sexuality, someone who has reached the point of telling a parent that he or she is gay is not usually going through ""a phase"". On the contrary, he or she has given long and hard thought to understanding and acknowledging his or her sexual orientation. So if you're wondering, ""Is she/he sure?"" the answer will almost always be ""yes""! DON'T BE YOUR CHILD'S FIRST CLOSET! #children #lgbt #momdadimgay #gayisok #comingout #acceptance",
2487,29,596,399.98 RUB,18 - 54,,"Human rights, Martin Luther King, Jr., African National Congress, Nelson Mandela, Melanin, Justice, Muhammad Ali, Violence prevention, T- shirt, Black Women Are Beautiful, Pan Africanist Congress of Azania, Malcolm X, Anti-discrimination or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,"Attention, everyone! Whether you are participating in the National Day of Protest or not, you can support our movement and show your solidarity. You have a unique opportunity to purchase a branded t-shirt expressing your struggle against police brutality. Make everyone see what you think! https://www.bonfirefunds.com/stop-police-brutality https://www.bonfirefunds.com/national-day-of-protest-1 Order your limited edition Stop Police Brutality custom shirts before 10/20/2016! All proceeds benefit BlackMattersUS. Stop Police Brutality BM",62000000.0
11,31,4802,1960.34 RUB,18 - 65+,,Veterans Day,Instagram Feed,"Veterans Day is coming! There are so many ways to show your support and your gratitude. Millions of Americans change one light to green in a visible location as a symbol of appreciation. Businesses honor veterans with discounts, deals and fee meals on Veterans Day. Check our page for more information. Veterans USA @veterans GovSpending",770000.0
2876,1551,12831,300.00 RUB,18 - 65+,Exclude people who like Pan-African roots MOVE,"Martin Luther King, Jr., Black history, African- American culture, African-American Civil Rights Movement (1954-68), African- American history, Malcolm X or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,EVERYTHING was once a Black culture! Remember that.,31000000.0
3134,2571,18793,300.00 RUB,18 - 65+,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,Loving Kaepernick's outfit. Truth??? #melaninqueen #dope #beautiful #wakeup #wewillsurvive #organize #westandtogether #blacklivesmatter #unite4justice #black #melanin #blackisbeautiful #blacklivesmatter #blackgirlmagic #USA #blackandproud #democrat #republican #Africanamerican #unite4justice #breakingnews #goals #woke,2900000.0
2573,1322,12516,200.00 RUB,18 - 65+,,"Mexico. Latin hip hop. Chicano Movement,. Hispanidad, Lowrider, Chicano rap or La Raza",News Feed on desktop computers or News Feed on mobile devices,Patron Tequila — the great Mexican heritage,43000000.0
1343,0,2,1.75 RUB,35 - 65+,Exclude people who like Stop A.1.,Immigration or Politics,News Feed on desktop computers or News Feed on mobile devices,Close the borders until it's too late. Like to join!,27000000.0
804,10575,185599,48378.85 RUB,18 - 45,Exclude people who like Williams&Kalvin,Black (Color) or Racism in the United States,News Feed on desktop computers or News Feed on mobile devices,We are proud to be black and stand for our community! Join to end the racism in the US.,17000000.0
2871,997,7289,300.00 RUB,18 - 65+,Exclude people who like Pan-African roots MOVE,"Martin Luther King, Jr., Black history, African- American culture, African-American Civil Rights Movement(1954-68), African- American history, Malcolm X or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,"The darker the berry, the sweeter the juice. Like if you agree!",31000000.0
846,897,4657,248.30 RUB,18 - 50,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,Tell me once again that there is no such thing as white privilege.,2000000.0
1046,1555,10940,271.14 RUB,16 - 65+,,"Black nationalism, Pan-Africanism, Police misconduct, African-American culture, African-American Civil Rights Movement(1954-68), African-American history, Black Consciousness Movement, Martin Luther King III, Stop Police Brutality or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,Meet these beautiful lawyers The organization was created to motivate women to in meaningful legal careers.,31000000.0
2143,1518,9738,299.33 RUB,18 - 65+,,"Martin Luther King, Jr., African-American culture, African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",News Feed on desktop computers or News Feed on mobile devices,They'll graduate with honours for sure. Black and educated.,17000000.0
1104,1991,11217,400.00 RUB,16 - 65+,,"Pan-Africanism, African-American Civil Rights Movement (1954-68), African-American history or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,Don't be scared to rock your natural hair. Life is short and you only live once on this earth.,24000000.0
2416,116,1459,407.81 RUB,18 - 65+,,Bernie Sanders,News Feed on desktop computers or News Feed on mobile devices,"UC Davis paid $175,000 or more to scrub police pepper spray incident from web searches http://boingboing.net/2016/04/13/uc-davis-spent-1 75000-to-scr.htm I",9500000.0
2812,0,7,29.97 RUB,18 - 65+,Exclude people who like Black4Black,African-American history,"News Feed on desktop computers, News Feed on mobile devices or Right column on desktop computers",Support and develop Black-owned business is the key to success! It's time to unite and empower our community.,1800000.0
2489,211,2215,172.48 RUB,18 - 65+,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history, Malcolm X or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,"The famous Black rapper stated in an interview that he isn't connected to the Black rights movement, as it has nothing to do with him. Black Rapper Lil Wayne Dismisses BLM I BM BM",25000000.0
